name,price
"Notebook Dell Latitude 5540 i5-1335U/16GB/512GB SSD/15.6"" FHD/FRP/BacklitKB/Ubu","48.980,00 ден."
"Notebook Lenovo LOQ Gaming i5-13450HX/16GB/512GB/RTX4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS/Grey","52.980,00 ден."
"Notebook HP Pavilion 15 Ryzen7 7730U/16GB/512GB/15.6"" FullHD IPS/DOS/Fog Blue","26.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 8840HS/24GB/512GB/16"" WUXGA IPS/AMD Radeon 780M","34.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/256GB/15.6"" FHD/DOS","16.980,00 ден."
"Notebook Lenovo LOQ Gaming Ryzen7 250 AI/32GB/512GB/RTX5060 8GB/15.6""  IPS 144Hz G-Sync","76.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Core 5 120U/16GB/512GB/15.6"" FHD AG 250nits/Arc.Grey","29.980,00 ден."
"Notebook Lenovo LOQ Gaming i5-13450HX/24GB/512GB/RTX5050 8GB/15.6"" IPS 144Hz G-Sync","61.980,00 ден."
"Notebook Lenovo IdeaPad Slim 5 Core 5 210H/16GB/512GB/14"" WUXGA IPS/BacklitKB","36.980,00 ден."
"Notebook Lenovo IdeaPad Slim 5 Ryzen5 8645HS/24GB/512GB/14"" WUXGA OLED/AMD Radeon 760M/BacklitKB","39.980,00 ден."
"Notebook Lenovo IdeaPad Slim 5 i5-13420H/16GB/512GB/16"" WUXGA IPS/BacklitKB","32.980,00 ден."
"Notebook Lenovo IdeaPad 1 N4500/8GB/512GB/15.6"" FHD/USB-C/Cloud Grey","14.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i5-13420H/16GB/512GB/15.1"" WQXGA OLED 165Hz/BacklitKB","33.980,00 ден."
"Notebook Lenovo IdeaPad 5 2-in1 Ryzen5 AI 340/16GB/512GB/14"" WUXGA IPS Touch/Pen/BacklitKB","46.980,00 ден."
"Notebook Acer Extensa EX215-57 i7-13620H/16GB/512GB/15.6"" FHD/USB-C","35.980,00 ден."
"Notebook Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX4050 6GB/15.6"" FHD IPS 144Hz/DOS","47.980,00 ден."
"Notebook HP 15 i5-1334U/12GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Warm Gold","23.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 5825U/16GB/512GB/15.6"" FHD/Arctic Grey","23.980,00 ден."
"Notebook HP Pavilion 15 i5-1335U/8GB/512GB/15.6"" FullHD IPS/Silver/DOS","28.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i5-13420H/16GB/512GB/15.3"" WUXGA IPS/No OS","26.480,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U/16GB/512GB/16"" WUXGA IPS/No OS","29.980,00 ден."
"Notebook HP 15s i3-1215U 8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Grey","17.780,00 ден."
"Notebook HP 15 Ryzen3 7320U/8GB/256GB/15.6"" FullHD IPS/DOS/Grey","16.480,00 ден."
"Notebook Lenovo LOQ Gaming Ryzen5 8645HS/16GB/512GB/RTX4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS","54.980,00 ден."
"Notebook HP 14 i5-1335U/12GB/512GB/14"" FHD IPS AG 300nits/Diamond White","23.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 7520U/8GB/256GB/15.6"" FHD/DOS","17.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i5-12450H/16GB/512GB/15.6"" FHD/DOS/UltraSlim/Gray","23.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i7-13620H/16GB/512GB/15.6"" FHD AG 250nits/Abyss Blue","31.980,00 ден."
"Notebook Acer Extensa EX215-57 i5-13420H/16GB/512GB/15.6"" FHD/USB-C","28.980,00 ден."
"Notebook HP Pavilion 15 Ryzen7 7730U/16GB/1TB/15.6"" FullHD IPS/DOS/Silver","28.480,00 ден."
"Notebook HP Pavilion 15 Ryzen7 7730U/16GB/512GB/15.6"" FullHD IPS/DOS/Ceramic White","26.980,00 ден."
"Notebook HP 255 G10 Ryzen5 7530U/16GB/1TB/15.6"" FHD/BacklitKb/Silver","24.980,00 ден."
"Notebook Acer EX215-23-R3KW Ryzen5 7520U 8GB/512GB/15.6"" FullHD/Cam/RJ45/Linux","18.980,00 ден."
"Notebook Acer Nitro 5 Intel Core 5 210H/16GB/512GB/RTX 3050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt","49.980,00 ден."
"Notebook Acer Nitro 5 Intel Core 5 210H/16GB/512GB/RTX 4050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt","56.980,00 ден."
"Notebook Acer Aspire Go 15 Ryzen5 5625U/16GB/512GB/15.6"" FHD IPS/Pure Silver","23.980,00 ден."
"Notebook Acer Nitro 5 Intel Core 7 240H/16GB/1TB/RTX 4050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt","63.980,00 ден."
"Notebook Dell Vostro 3530 i7-1355U/16GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu","36.980,00 ден."
"Notebook Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX3050 6GB/15.6"" FHD IPS 144Hz/DOS","40.980,00 ден."
"Notebook Acer Nitro 5 i9-12900H/16GB/512GB/RTX4060 8GB/15.6"" FHD 165Hz/RGB Kb/DOS","79.980,00 ден."
"Notebook Dell Inspiron 3525 Ryzen7 5825U/16GB/512GB/Vega8/15.6"" FHD 120Hz/Ubu","27.980,00 ден."
"Notebook Acer Aspire Go 15 Ryzen7 5825U/16GB/512GB/15.6"" FHD IPS/Pure Silver","27.980,00 ден."
"Notebook Dell Vostro 3530 i3-1305U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/3Cell/Ubuntu","18.980,00 ден."
"Notebook Gigabyte A16 Gaming Ryzen 7 260/16GB/1TB SSD/RTX 5060 8GB/16.0"" FHD+ 165Hz IPS/Type-C/DOS","64.980,00 ден."
"Notebook Dell Vostro 3530 i5-1334U/16GB/512GB/IntelUHD/15.6""FHD120Hz/BLKB/3Cell","25.480,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen5 5625U 16GB/512GB/15.6"" FHD IPS/Arctic Grey","22.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 5500U/16GB/512GB/15.6"" FHD/ DOS","19.980,00 ден."
"Notebook Lenovo LOQ Gaming i5-12450HX/24GB/512GB/RTX4060 8GB/ 15.6"" FHD IPS 144Hz","56.980,00 ден."
"Notebook Lenovo LOQ Gaming Ryzen7 7435HS/16GB/512GB/RTX4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS","49.980,00 ден."
"Notebook Dell Inspiron 3535 Ryzen5 7530U/16GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux","25.480,00 ден."
"Notebook Lenovo V15 Business G4 i5-13420H/16GB/512GB/15.6"" FHD IPS/USB-C/GigaLan","26.480,00 ден."
Notebook Lenovo IdeaPad Slim 3 Ryzen5 7533HS/16GB/512GB/15.3 WUXGA IPS/Radeon 660M,"24.980,00 ден."
"Notebook Lenovo LOQ Gaming i7-13650HX/24GB/1TB/RTX5070 8GB/15.6"" IPS 144Hz G-Sync","86.980,00 ден."
"Notebook Lenovo LOQ Gaming i7-13650HX/24GB/1TB/RTX5060 8GB/15.6"" IPS 144Hz G-Sync","74.980,00 ден."
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Warm Gold","17.480,00 ден."
"Notebook HP 15 i5-1334U/16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Moonlight blue","25.480,00 ден."
"Notebook Lenovo IdeaPad Flex 5 Ryzen7 5825U/16GB/512GB/14"" WUXGA IPS Touch/Pen/BacklitKB/Win11","42.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 5500U/8GB/512GB/15.6"" FHD/ DOS","18.980,00 ден."
"Notebook HP 15 i3-1315U/12GB/512GB/15.6"" FHD IPS/Intel UHD/Type-C/DOS/Silver","19.480,00 ден."
"Notebook Gigabyte A16 Gaming i7-13620H/16GB/1TB SSD/RTX 5060 8GB/16.0"" FHD+ 165Hz IPS/Type-C/DOS","64.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U/16GB/512GB/15.6"" FHD AG 250nits/ArcticGrey","26.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/512GB/15.6"" FHD/DOS","17.980,00 ден."
"Notebook Dell Inspiron 3535 Ryzen7 7730U/16GB/1TB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux","30.780,00 ден."
"Notebook HP 14 Ryzen3 7320U/8GB/512GB/14"" FHD IPS AG 250nits/DOS/Jet Black","17.480,00 ден."
"Notebook Dell Vostro 3420 i5-1135G7/16GB/512GB/Iris XE/14"" FullHD/BacklitKB/3Cell/Ubuntu","26.980,00 ден."
"Notebook Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS/GigaLAN/Steel Gray/Linux","32.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i3-1305U/8GB/256GB/15.6"" FullHD/DOS/UltraSlim/Gray","17.980,00 ден."
"Notebook HP 250 G10 i5-1335U 8GB/512GB/15.6"" FullHD AG/HDMI/USB-C/DOS","22.980,00 ден."
"Notebook HP ProBook 455 G10 Ryzen5 7530U/16GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","30.980,00 ден."
"Notebook Lenovo LOQ Gaming Ryzen5 7235HS/24GB/512GB/RTX3050 6GB/15.6"" FHD 144Hz/Backlit Kb/DOS/Grey","43.980,00 ден."
"Notebook HP Victus Gaming i7 13700H/16GB/512GB/RTX 4060 8GB/15.6"" FHD IPS 144Hz/Backlit Kb/Blue","69.980,00 ден."
"Notebook Dell Inspiron 3535 Ryzen5 7520U/8GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux","20.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 Core 7 150U/16GB/512GB/15.6"" FHD IPS 300nits/Arc.Grey","38.980,00 ден."
"Notebook Lenovo ThinkBook 15 G4 Ryzen7 5825U/16GB/1TB/15.6"" FHD/Backlit KB/Dos","39.980,00 ден."
"Notebook HP 15 i5-1334U/16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Diamond White","25.480,00 ден."
"Notebook HP ProBook 450 G10 i7-1355U/16GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","45.980,00 ден."
"Notebook Lenovo Gaming 3 i5-12450H/8GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS","42.480,00 ден."
