name,price,regular_price,discount_price
N/A,N/A,N/A,N/A
LENOVO IdeaPad 1 15IJL7 N4500/8GB/512GB,14.999,14.999,14.999
HP 250 G10 i3-1315U/8GB/512GB AK9P6AT,18.999,19.999,18.999
HP 15-FD0030NN i3-1315U/8GB/512GB B3PF6EA,19.499,19.999,19.499
ASUS Vivobook Go 15 E1504FA-NJ1534 R3-7320U/16GB DDR5/512GB,19.999,23.999,19.999
LENOVO IdeaPad 1 15AMN7 R3-7320U/16GB DDR5/512GB,20.999,20.999,20.999
"DELL Vostro 3530 15.6"" 120Hz/i3-1305U/16GB/512GB",21.999,22.499,21.999
Лаптоп ASUS Vivobook 15 X1504ZA-NJ864W i3-1215U/8GB/512GB/WIN11,21.999,25.999,21.999
Лаптоп ASUS Vivobook 15 X1504VA-NJ799 i3-1315U/16GB/512GB,22.299,23.999,22.299
ASUS Vivobook 15 X1504VA-NJ1144 i3-1315U/16GB/512GB,22.499,23.999,22.499
LENOVO IdeaPad 1 15ALC7 R5-5625U/16GB/512GB,22.999,22.999,22.999
Лаптоп ACER Aspire 3 A315-44P-R8YE R5-5500U/16GB/512GB,22.999,23.999,22.999
LENOVO IdeaPad 1 15AMN7 R5-7520U/16GB DDR5/512GB,22.999,23.999,22.999
Лаптоп ACER Extensa 15 EX215-23-R6VX R5-7520U/16GB DDR5/512GB,22.999,25.999,22.999
LENOVO IdeaPad Slim 3 15ABR8 R7-5825U/16GB/512GB,22.999,27.999,22.999
Лаптоп LENOVO IdeaPad Slim 3 15ABR8 R5-7430U/16GB/512GB,23.499,24.999,23.499
HP 255 G10 R5-7530U/16GB/512GB B39NVAT,23.999,24.999,23.999
LENOVO IdeaPad 1 15ALC7 R7-5700U/16GB/512GB,23.999,24.999,23.999
Лаптоп ASUS Vivobook Go 15 E1504FA-NJ312 R5-7520U/16GB DDR5/512GB,23.999,25.999,23.999
ACER Aspire Lite 16 AL16-52P-50A8 16” FHD+/i5-1334U/16GB DDR5/512GB,23.999,28.999,23.999
LENOVO IdeaPad Slim 3 15IAH8 i5-12450H/16GB DDR5/512GB,24.999,24.999,24.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Лаптоп ASUS Vivobook Go 15 E1504FA-NJ318 R5-7520U/16GB DDR5/512GB,24.999,25.999,24.999
ACER Aspire Go 15 AG15-42P-R524 R5-5625U/20GBGB/512GB,25.199,25.999,25.199
Лаптоп Aspire 3 A315-44P-R87M R7-5700U/16GB/512GB,25.499,29.999,25.499
"DELL Vostro 3530 15.6"" 120Hz/i5-1334U/16GB/512GB",25.799,26.999,25.799
ASUS Vivobook Go 15 E1504FA-BQ1868 R5-7520U/16GB DDR5/512GB,25.999,25.999,25.999
LENOVO IdeaPad Slim 3 15IAH8 i5-12450H/16GB DDR5/512GB,25.999,25.999,25.999
"DELL Inspiron 3535 15.6"" 120Hz/R5-7530U/16GB/512GB",25.999,25.999,25.999
ACER Extensa 15 EX215-55-56YF i5-1235U/16GB/512GB,25.999,27.999,25.999
ASUS Vivobook Go 15 E1504FA-NJ1126 R5-7520U/16GB DDR5/1TB,25.999,28.999,25.999
Лаптоп ASUS Vivobook 15 X1504VA-NJ924 i5-1335U/16GB/512GB,25.999,30.999,25.999
LENOVO IdeaPad Slim 3 15IRH8 i5-13420H/16GB DDR5/512GB,26.999,28.999,26.999
LENOVO IdeaPad Slim 3 15ARP10 15.3 FHD+/R7-7735HS/16GB DDR5/512GB,26.999,31.999,26.999
Лаптоп HP Pavilion 15-eh3012nn R7-7730U/16GB/512GB B36FLEA,27.999,27.999,27.999
LENOVO IdeaPad Slim 3 15IAH8 i5-12450H/16GB DDR5/1TB,27.999,27.999,27.999
ASUS Vivobook 15 X1504VA-BQ1647 i5-1334U/16GB/512GB,27.999,28.999,27.999
"Лаптоп DELL Vostro 3530 15.6"" 120Hz/i5-1334U/16GB/512GB + BACKPACK DELL EcoLoop Essential 14-16",27.999,28.999,27.999
Лаптоп LENOVO IdeaPad Slim 3 15ABR8 R7-7730U/16GB/512GB,27.999,29.999,27.999
LENOVO IdeaPad Slim 3 15ABR8 R7-7730U/16GB/512GB,27.999,30.799,27.999
Лаптоп  ASUS Vivobook 15 OLED X1505VA-OLED-L511 i5-1335U/8GB/512GB,27.999,34.999,27.999
Лаптоп ACER Aspire 5 A515-57-56D3 i5-12450H/16GB/512GB,27.999,36.999,27.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
ACER Aspire Go 15 AG15-42P-R9QM R5-5625U/32GB/512GB,28.499,28.499,28.499
ACER Aspire Go 15 AG15-42P-R844 R7-5825U/20GB/512GB,28.999,28.999,28.999
LENOVO IdeaPad Slim 3 15IRH10 15.3” FHD+/i5-13420H/16GB DDR5/512GB,28.999,28.999,28.999
Лаптоп LENOVO IdeaPad Slim 3 15IRU8 i5-1335U/16GB DDR5/512GB,28.999,36.999,28.999
Лаптоп HP Pavilion 15-eh3009nn R7-7730U/16GB/1TB B36FGEA,29.999,29.999,29.999
Лаптоп ASUS Vivobook 15 M1502YA-BQ112 R7-7730U/16GB/512GB,29.999,30.999,29.999
ACER Aspire Go 15 AG15-42P-R6WF R7-5825U/32GB/512GB,29.999,31.799,29.999
ACER Aspire 3 A315-44P-R346 R7-5700U/32GB/1TB,29.999,32.999,29.999
"DELL Inspiron 3535 15.6"" 120Hz/R7-7730U/16GB/1TB",30.799,31.999,30.799
ASUS Vivobook 15 X1504VA-BQ1696 i5-1334U/16GB/1TB,30.999,31.999,30.999
LENOVO IdeaPad Slim 3 15IRU9 Core 5 120U/16GB DDR5/512GB,30.999,33.999,30.999
"LENOVO IdeaPad Slim 5 16IRL8 16"" i5-13420H/16GB DDR5/512GB",31.499,31.999,31.499
ACER Extensa 15 EX215-57-53YE i5-13420H/16GB DDR5/1TB,31.999,33.499,31.999
LENOVO IdeaPad Slim 3 15IRH10 15.3” FHD+/i7-13620H/16GB DDR5/512GB,32.999,33.999,32.999
LENOVO IdeaPad Slim 3 15IRH8 i7-13620H/16GB DDR5/512GB,32.999,34.999,32.999
ACER Aspire 3 A315-59-7630 i7-1255U/16GB/512GB,33.399,34.999,33.399
ACER Aspire 15 A15-41M-R2UZ R5-8640HS/16GB DDR5/1TB,35.999,35.999,35.999
