name,price,regular_price,discount_price
N/A,N/A,N/A,N/A
"HD Smart TV FUEGO 32 EL 720 GTV 32"" (81cm)",6.499,7.999,6.499
"HD Smart HISENSE 32 A4 N, 32""(81.3cm)",8.499,9.599,8.499
"FHD Smart TV FUEGO 40 EL 720 GTV 40""(100cm)",8.799,10.999,8.799
HISENSE 32 A4Q,9.599,9.599,9.599
"FHD Smart TV FUEGO 43 EL 720 GTV 43""(109cm)",9.999,11.999,9.999
"FHD Smart HISENSE 40 A4 N, 40""(101.6cm)",10.999,11.999,10.999
"4K UHD Smart TV FUEGO 43 ELU 720 GTV 43""(109cm)",10.999,13.999,10.999
"SMART HD LED PHILIPS 32 PHS 6808, 32"" (82cm), Wi-Fi",11.499,14.499,11.499
HISENSE 40 A4Q,11.999,11.999,11.999
PHILIPS 32 PHS 6000,11.999,11.999,11.999
"HD SMART LED TV LG 32 LQ630B6LA, 32""(81cm), α5 Gen5, Wifi",11.999,15.999,11.999
"FHD SMART TV HOOBART 43 DS 620 AND T, 43""(109cm)",13.499,13.499,13.499
"FHD Smart TCL 43 S51B , 43""(109cm)",13.499,16.499,13.499
"4K Smart TV FUEGO 50 ELU 720 GTV  50""(127cm)",13.499,16.999,13.499
"4k UHD SMART TV GRUNDIG 43 GHU 7800 B, 43""(108cm)",13.995,18.999,13.995
LG 32 LQ 63006 LA,13.999,13.999,13.999
"4K UHD Smart HISENSE 43 A6 N, 43""(108cm)",13.999,16.499,13.999
LG 32 LQ 63006 LA,13.999,19.599,13.999
"UltraHD SMART LED TV GRUNDIG 43 GHU 7970 B, 43""(108cm)",14.995,20.999,14.995
GRUNDIG 43 GHU 7850 B,15.499,18.999,15.499
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"FHD SMART LED TV PHILIPS 43 PFS 6808, 43""(108cm)",15.499,20.999,15.499
"4K UHD Smart PHILIPS 43 PUS 7609, 43""(108cm)",15.999,19.999,15.999
"4K Smart TV FUEGO 55 ELU 720 GTV 55""(139cm)",15.999,19.999,15.999
"4K UHD Smart PHILIPS 43 PUS 8009, 43""(108cm)",15.999,21.999,15.999
HISENSE 43 A6Q,16.499,16.499,16.499
PHILIPS 32 PFS 6900 Ambilight,16.999,16.999,16.999
"4k UHD SMART TV LG 43 UR 78003 LK, 43""(108cm)",17.499,25.999,17.499
"4k UHD SMART TV GRUNDIG 50 GHU 7800 B, 50""(127cm)",17.995,22.699,17.995
"4k UHD SMART TV GRUNDIG 50 GHU7970B, 50""(127cm), Android TV",17.995,23.999,17.995
"4k ULTRA HD LED SMART TV PHILIPS 43 PUS 8079 43""(109cm)",17.995,24.999,17.995
"4k UHD SMART LED TV GRUNDIG 55 GHU 7800 B, 55""(139.7cm), Android TV, 900Hz, Wifi",17.995,24.999,17.995
"4K UHD Smart HISENSE 50 A6 N, 50""(127cm)",17.999,19.999,17.999
"4К LED UHD Smart TV  SAMSUNG UE 43 CU 7092 UXXH 43""(109cm)",17.999,21.999,17.999
"4K UHD SMART TV LG 43 UT 73003 LA, 43""(108cm)",17.999,21.999,17.999
GRUNDIG 43 GHU 7990 B,17.999,21.999,17.999
"QLED 4K Smart TV FUEGO 55 ELU 820 GTV, 55""(139cm)",18.999,21.999,18.999
"4K UHD Smart HISENSE 55 A6 N, 55""(139cm)",18.999,22.999,18.999
"4К UHD Smart TV SAMSUNG UE 43 DU 7172 UXXH 43""(109cm)",18.999,23.999,18.999
"4K UHD Smart TCL 55 V6B, 55""(139cm)",18.999,24.999,18.999
"4К LED UHD Smart TV SAMSUNG UE 50 CU 7092 UXXH, 50""(127cm)",18.999,25.999,18.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"4К SMART DLED TV HOOBART 55 KTU 620 AND T, 55""(139cm), Wi-Fi",19.499,19.499,19.499
HOOBART 55 DSU 620 AND T,19.499,19.499,19.499
"4K UHD Smart PHILIPS 50 PUS 7609, 50""(126cm)",19.995,26.999,19.995
"4K UHD SMART TVGRUNDIG 55 GHU 7970 B, 55""(139 cm)",19.995,27.999,19.995
HISENSE 50 A6Q,19.999,19.999,19.999
LG 43 UA 75003 LA,19.999,21.999,19.999
GRUNDIG 50 GHU 7850 B,19.999,22.699,19.999
"4K UHD Smart LG 43 UT 80003 LA, 43""(109cm)",19.999,23.999,19.999
"4К UHD Smart TV SAMSUNG UE 50 DU 7172 UXXH 50""(127cm)",19.999,29.999,19.999
"4K UHD DLED SMART TV LG 50 UR 78003 LK, 50""(127cm)",19.999,29.999,19.999
"4K Ultra HD LED SMART TV PHILIPS 50 PUS 7009 50""(127cm)",20.495,23.999,20.495
