name,price
Лаптоп HP 14-DQ1077 /Win 10( Silver ),"14,995 ден."
Лаптоп HP 255 G8 (Dark Ash Silver),"15,495 ден."
Лаптоп LENOVO  IdeaPad 3 15ADA6 ( GRAY ),"15,495 ден."
Лаптоп LENOVO  V15 G2 ALC ( Black ),"15,995 ден."
Лаптоп ASUS Vivobook Go 15 E1504GA-BQ311 ( Green Grey),"16,499 ден."
Лаптоп ACER Extensa (EX215-23-R1YZ),"16,499 ден."
Лаптоп LENOVO  IdeaPad 3 15AMN7  ( GRAY ),"17,499 ден."
Лаптоп DELL Vostro 3520,"17,499 ден."
Лаптоп ASUS X1502ZA-BQ322 (Slate Grey),"17,499 ден."
Лаптоп DELL Vostro 3520,"17,499 ден."
Лаптоп ASUS Vivobook 15 X1504ZA-NJ866 ( Terra Cotta),"17,499 ден."
Лаптоп ACER Aspire 3 A315-510P-35FD ( Silver ) - Процесор  Intel® Core™ i3-N305 (6M Cache,"17,499 ден."
Лаптоп LENOVO  IdeaPad 3 15IAN8  ( ARTIC GRAY ),"17,499 ден."
Лаптоп ASUS E1504FA-NJ934 (SLATE GRAY),"17,999 ден."
Лаптоп HP 250 G9 (Dark Ash Silver),"17,999 ден."
Лаптоп ASUS Vivobook 15 X1504ZA-NJ865 (Cool Silver),"17,999 ден."
Лаптоп ASUS Vivobook 15 X1504ZA-NJ865 / 12GB (Cool Silver),"18,499 ден."
Лаптоп HP 15s-eq2005nia ( WHITE ),"18,499 ден."
Лаптоп LENOVO  IdeaPad 3 15AMN7 ( GRAY ),"18,499 ден."
Лаптоп DELL Vostro 3535,"18,499 ден."
Лаптоп LENOVO  IdeaPad 3 15IAU7 ( PLATINUM GRAY ),"18,499 ден."
Лаптоп ASUS X1504VA-BQ312 ( Quiet Blue),"18,499 ден."
Лаптоп ACER Aspire 3 A315-24P,"18,499 ден."
Лаптоп ACER Aspire 3 A315-44P-R3VA,"18,499 ден."
Лаптоп LENOVO IdeaPad Slim 3 15AMN8 ( GRAY ),"18,499 ден."
Лаптоп ACER Aspire 3 A315-24P-R83E,"18,499 ден."
Лаптоп ACER Extensa (EX215-33-371D) ( Silver ) - Процесор  Intel® Core™ i3-N305 (6M Cache,"18,499 ден."
Лаптоп HP 15s-fq5392nia ( Silver ),"18,499 ден."
Лаптоп ASUS E1504FA-NJ889 (SLATE GRAY),"18,499 ден."
Лаптоп LENOVO  IdeaPad 1 15IAU7 ( PLATINUM GRAY ),"18,499 ден."
Лаптоп DELL Vostro 3530,"18,499 ден."
Лаптоп LENOVO IdeaPad Slim 1 15AMN7 ( GRAY ),"18,499 ден."
Лаптоп HP 250 G8 (Dark Ash Silver),"19,495 ден."
Лаптоп HP 250 G10 (Dark Ash Silver),"19,499 ден."
Лаптоп LENOVO  IdeaPad 3 15IAU7 ( PLATINUM GRAY ),"19,499 ден."
Лаптоп ASUS X1504VA-NJ733 ( Cool Silver),"19,499 ден."
Лаптоп ASUS VivoBook X1504VA-NJ732 ( Blue ),"19,499 ден."
Лаптоп HP 255 G8 (Dark Ash Silver),"19,499 ден."
Лаптоп HP 250 G10 (Dark Ash Silver),"19,499 ден."
Лаптоп HP 255 G10 (Natural Silver),"19,499 ден."
Лаптоп ASUS X1504VA-BQ321 ( Black ),"19,999 ден."
Лаптоп HP 250 G8 (Dark Ash Silver),"20,495 ден."
Лаптоп ACER Aspire 5 A315-58-53H3 ( Silver ) -Процесор  Intel® Core™i5-1135G7  (8M Cache,"20,495 ден."
Лаптоп HP 15s-fq2002nia (Grey ),"20,495 ден."
Лаптоп HP 15-DW3138NIA (Grey ),"20,495 ден."
Лаптоп HP 255 G9 (Dark Ash Silver),"20,499 ден."
Лаптоп ACER Aspire 3 315-59-384Q (Black ) - Процесор Intel®Core™ i3-1215U (10M Cache,"20,499 ден."
Лаптоп LENOVO  IdeaPad 1 15ALC7 ( GRAY ),"20,499 ден."
Лаптоп ACER Aspire 3 A315-44P-R8YE,"20,499 ден."
Лаптоп HP 255 G10 (Silver),"20,499 ден."
Лаптоп LENOVO IdeaPad Slim 1 15AMN7 ( GRAY ),"20,499 ден."
Лаптоп HP 15-fc0007nn (Jet Black),"20,499 ден."
Лаптоп LENOVO  Slim IdeaPad 3 15IRU8 ( ABYSS BLUE ),"20,999 ден."
Лаптоп LENOVO IdeaPad Slim 3 15IRU8 ( PLATINUM GRAY ),"20,999 ден."
Лаптоп LENOVO  IdeaPad 1 15AMN7  ( GRAY ),"21,299 ден."
