name,price
PHILIPS 55OLED718,"51,145 ден."
SAMSUNG QE55S90CATXXH,"65,095 ден."
SAMSUNG QE55S90DATXXH,"72,539 ден."
PHILIPS 65OLED718,"78,995 ден."
SONY XR55A80LAEP,"80,905 ден."
SAMSUNG QE55S85FAUXXH,"86,489 ден."
SAMSUNG QE65S90DATXXH,"92,999 ден."
SAMSUNG QE55S95DATXXH,"92,999 ден."
SAMSUNG QE55S90FAEXXH,"102,299 ден."
SONY K55XR80PAEP,"102,299 ден."
SONY XR65A80LAEP,"102,299 ден."
SONY K65XR80PAEP,"114,389 ден."
SAMSUNG QE65S85FAUXXH,"115,319 ден."
SAMSUNG QE65S95CATXXH,"120,895 ден."
SAMSUNG QE65S95DATXXH,"125,549 ден."
SAMSUNG QE77S90DATXXH,"136,709 ден."
SAMSUNG QE77S95DATXXH,"148,795 ден."
SAMSUNG QE77S85FAEXXH,"165,539 ден."
SONY K77XR80PAEP,"185,999 ден."
SAMSUNG QE77S90FAEXXH,"213,899 ден."
SAMSUNG QE83S90DAEXXH,"232,499 ден."
