name,price
"LENOVO NOTEBOOK IdeaPad 1 N4500/8GB/512GB/15.6"" FHD/USB-C/Cloud Grey","16,999 ден."
"Notebook HP 250 G9 i3-1215U 8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/T","19,999 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/256GB SSD/15.6"" FHD/DO","19,999 ден."
"HP 15s i3-1215U8GB/512GB/15.6""FHDAG/IntelUHD/GigaLAN/Type-C/DOS/GREY","21,299 ден."
"Notebook Lenovo IdeaPad 1 Ryzen5 5500U 16GB/512GB SSD/15.6"" FHD/ DOS","21,999 ден."
"Notebook Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 1","22,999 ден."
"Notebook HP 15 Ryzen3 7320U/8GB/256GB/15.6"" FullHD IPS/DOS/Grey","23,499 ден."
"HP 250 G9 I3-1215U 8GB/256GB/15.6"" FHD AG/IRIS XE/GIGALAN/TYPE-C/DOS/D","24,699 ден."
"Notebook Lenovo IdeaPad Slim 3 i3-1305U 8GB/256GB SSD/15.6"" FullHD/DOS","24,999 ден."
"Notebook Lenovo IdeaPad Slim 3 i5-12450H 16GB/512GB SSD/15.6"" FHD/DOS/","25,999 ден."
"Notebook Acer EX215-23-R3KW Ryzen5 7520U 8GB/512GB SSD/15.6"" FullHD/Ca","26,999 ден."
"Notebook Dell Vostro 3530 i5-1334U 16GB/512GB/IntelUHD/15.6""FHD120Hz/B","26,999 ден."
"Notebook Dell Inspiron 3535 Ryzen5 7530U 16GB/512GB/Radeon 610M/15.6""","27,999 ден."
"Notebook HP 255 G10 Ryzen5 7530U 16GB/512GB/15.6"" FHD/BacklitKb/Silver","27,999 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 5825U 16GB/512GB/15.6"" FHD/Arcti","27,999 ден."
"Notebook Acer Aspire A315 Ryzen5 3500U 8GB/256GB SSD/GigaLAN/15.6"" Ful","28,499 ден."
"Notebook HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Si","28,999 ден."
"Notebook Lenovo IdeaPad Slim 3 i5-13420H 16GB/512GB SSD/15.3"" WUXGA IP","28,999 ден."
"Notebook Lenovo V15 Business G4 i5-13420H/16GB/512GB/15.6"" FHD IPS/USB","29,999 ден."
"LENOVO IDEAPAD 1 RYZEN5 7520U/8GB/512GB SSD/15.6"" FHD/DOS","30,699 ден."
"Notebook Dell Inspiron 3525 Ryzen7 5825U/16GB/512GB SSD/Vega8/15.6"" FH","30,999 ден."
"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U 16GB/512GB/16"" WUXGA IPS/N","31,999 ден."
"Notebook HP 250 G10 i5-1335U 8GB/512GB/15.6"" FullHD AG/HDMI/USB-C/DOS","32,999 ден."
"Notebook Dell Inspiron 3535 Ryzen7 7730U 16GB/1TB/Radeon 610M15.6"" FHD","33,999 ден."
"Notebook Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS","35,999 ден."
"Notebook Dell Vostro 3520 i7-1255U 16GB/512GB/Intel Iris XE/15.6"" FHD","44,999 ден."
DELL Vostro 3510 i5-1135G7/MX350 2GB/15.6” FHD/8GB/SSD 512GB/BACKLIT/B,"48,999 ден."
"Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backl","68,499 ден."
"Lenovo Gaming 3 Ryzen7 6800H 16GB/512GB/RTX3050Ti 4GB/15.6"" FullHD AG","69,539 ден."
"LENOVO GAMING 3 I7-12650H 16GB/512GB/RTX3050 TI 4GB/16"" FULLHD AG 165H","71,599 ден."
"Lenovo Gaming 3 i7-12650H 16GB/512GB/RTX3060 6GB/15.6"" FullHD AG 120Hz","74,599 ден."
Apple MBA 13.6: SKY BLUE/M4 10C CPU/8C GPU/16GB/256GB-ZEE,"75,999 ден."
Apple MBA 13.6: MIDNIGHT/M4 10C CPU/8C GPU/16GB/256GB-ZEE,"75,999 ден."
Apple MBA 13.6: STARLIGHT/M4 10C CPU/8C GPU/16GB/256GB-ZEE,"75,999 ден."
Apple MBA 13.6: SILVER/M4 10C CPU/8C GPU/16GB/256GB-ZEE,"75,999 ден."
Apple MBA 15.3: SILVER/M3 10C GPU/16GB/256GB-ZEE,"83,999 ден."
Apple Macbook Air 13.6: Midnight/M2/8C GPU/8GB/256GB-ZEE - дисплеј мод,"87,999 ден."
"Notebook Dell XPS 13 9315 i7-1250U/16GB/512GB/13.4"" FHD AntiGlare 500n","89,999 ден."
Apple Macbook Air 13.6 Starlight /M3/8C GPU/8GB/256GB-ZEE,"90,999 ден."
Apple MBA 13.6: SKY BLUE/M4 10C CPU/10C GPU/16GB/512GB-ZEE,"91,199 ден."
Apple MBA 13.6: SILVER/M4 10C CPU/10C GPU/16GB/512GB-ZEE,"91,199 ден."
Apple MBA 13.6: MIDNIGHT/M4 10C CPU/10C GPU/16GB/512GB-ZEE,"91,199 ден."
Apple MBA 15.3 SILVER/M3/10C GPU/16GB/512GB-ZEE,"92,985 ден."
Apple MBA 15.3: MIDNIGHT/M4 10C CPU/10C GPU/16GB/256GB-ZEE,"93,999 ден."
Apple MBA 15.3: SILVER/M4 10C CPU/10C GPU/16GB/256GB-ZEE,"93,999 ден."
"Apple Macbook Air 15.3"" Space Grey/M2/10C GPU/8GB/256GB-ZEE","97,499 ден."
Apple MBA 15.3: SILVER/M4 10C CPU/10C GPU/16GB/512GB-ZEE,"109,499 ден."
Apple MBA 15.3: MIDNIGHT/M4 10C CPU/10C GPU/16GB/512GB-ZEE,"109,499 ден."
Apple Macbook Air 15.3 SILVER/M3/10C GPU/8GB/256GB-ZEE,"111,999 ден."
Apple Macbook Pro 14: SPACE GREY/M3 8C/10C GPU/8GB/512GB-ZEE,"119,999 ден."
"Apple Macbook Pro 14"" SILVER/M3 8C/10C GPU/8GB/512GB-ZEE","121,090 ден."
